day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
44564,4,0,4324.0,-2,2022-01-03,2022-01-03 04:00:00,2022-01-03 04:00:00,VGH22.csv,838,VGH22.csv,-2.0,4328.5,4328.5,8648.0,8657.0,9.0
44564,8,0,4333.0,-3,2022-01-03,2022-01-03 08:00:00,2022-01-03 08:00:00,VGH22.csv,419,VGH22.csv,-1.0,4337.5,4323.5,4333.0,4323.5,-9.5
44565,4,0,4336.5,0,2022-01-04,2022-01-04 04:00:00,2022-01-04 04:00:00,VGH22.csv,286,VGH22.csv,3.0,4332.0,4343.5,13009.5,13030.5,-21.0
44566,4,0,4357.0,-2,2022-01-05,2022-01-05 04:00:00,2022-01-05 04:00:00,VGH22.csv,401,VGH22.csv,-2.0,4361.5,4361.5,8714.0,8723.0,9.0
44566,13,0,4366.5,-3,2022-01-05,2022-01-05 13:00:00,2022-01-05 13:00:00,VGH22.csv,397,VGH22.csv,-1.0,4371.0,4365.5,4366.5,4365.5,-1.0
44567,4,0,4316.0,-2,2022-01-06,2022-01-06 04:00:00,2022-01-06 04:00:00,VGH22.csv,802,VGH22.csv,1.0,4311.5,4311.5,4316.0,4311.5,4.5
44567,8,0,4318.5,-1,2022-01-06,2022-01-06 08:00:00,2022-01-06 08:00:00,VGH22.csv,483,VGH22.csv,1.0,4314.0,4320.0,4318.5,4320.0,-1.5
44568,4,0,4295.5,1,2022-01-07,2022-01-07 04:00:00,2022-01-07 04:00:00,VGH22.csv,1236,VGH22.csv,2.0,4291.0,4304.5,8591.0,8609.0,-18.0
44568,13,0,4295.5,2,2022-01-07,2022-01-07 13:00:00,2022-01-07 13:00:00,VGH22.csv,148,VGH22.csv,1.0,4291.0,4296.5,4295.5,4296.5,-1.0
44568,15,45,4292.5,0,2022-01-07,2022-01-07 15:45:00,2022-01-07 15:45:00,VGH22.csv,407,VGH22.csv,-2.0,4297.0,4297.0,8585.0,8594.0,9.0
44571,4,0,4278.5,2,2022-01-10,2022-01-10 04:00:00,2022-01-10 04:00:00,VGH22.csv,443,VGH22.csv,2.0,4274.0,4279.5,8557.0,8559.0,-2.0
44571,8,0,4258.0,4,2022-01-10,2022-01-10 08:00:00,2022-01-10 08:00:00,VGH22.csv,947,VGH22.csv,2.0,4253.5,4263.0,8516.0,8526.0,-10.0
44571,13,0,4231.0,6,2022-01-10,2022-01-10 13:00:00,2022-01-10 13:00:00,VGH22.csv,540,VGH22.csv,2.0,4226.5,4253.0,8462.0,8506.0,-44.0
44572,4,0,4270.0,5,2022-01-11,2022-01-11 04:00:00,2022-01-11 04:00:00,VGH22.csv,1083,VGH22.csv,-1.0,4274.5,4274.5,4270.0,4274.5,4.5
44572,8,0,4270.5,3,2022-01-11,2022-01-11 08:00:00,2022-01-11 08:00:00,VGH22.csv,682,VGH22.csv,-2.0,4275.0,4259.5,8541.0,8519.0,-22.0
