day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price,filled_price,benchmark_amount,amount,slippage
44622,6,0,332.38,1,2022-03-02,2022-03-02 06:00:00,2022-03-02 06:00:00,HOJ22.csv,16,HOJ22.csv,1.0,332.29,332.29,332.38,332.29,0.08999999999997499
44622,10,30,337.18,3,2022-03-02,2022-03-02 10:30:00,2022-03-02 10:30:00,HOJ22.csv,39,HOJ22.csv,2.0,337.09000000000003,337.09000000000003,674.36,674.1800000000001,0.17999999999994998
44622,12,0,340.33,6,2022-03-02,2022-03-02 12:00:00,2022-03-02 12:00:00,HOJ22.csv,45,HOJ22.csv,3.0,340.24,340.24,1020.99,1020.72,0.2699999999999818
44622,16,0,354.31,4,2022-03-02,2022-03-02 16:00:00,2022-03-02 16:00:00,HOJ22.csv,7,HOJ22.csv,-2.0,354.4,354.4,708.62,708.8,0.17999999999994998
44623,6,0,362.81,3,2022-03-03,2022-03-03 06:00:00,2022-03-03 06:00:00,HOJ22.csv,4,HOJ22.csv,-1.0,362.9,362.9,362.81,362.9,0.08999999999997499
44623,12,0,349.89,2,2022-03-03,2022-03-03 12:00:00,2022-03-03 12:00:00,HOJ22.csv,79,HOJ22.csv,-1.0,349.98,352.95,349.89,352.95,3.0600000000000023
44623,16,0,350.08,0,2022-03-03,2022-03-03 16:00:00,2022-03-03 16:00:00,HOJ22.csv,23,HOJ22.csv,-2.0,350.17,350.17,700.16,700.34,0.18000000000006366
44624,10,30,369.01,2,2022-03-04,2022-03-04 10:30:00,2022-03-04 10:30:00,HOJ22.csv,25,HOJ22.csv,2.0,368.92,368.92,738.02,737.84,0.17999999999994998
44624,12,0,365.49,6,2022-03-04,2022-03-04 12:00:00,2022-03-04 12:00:00,HOJ22.csv,63,HOJ22.csv,4.0,365.4,371.57,1461.96,1486.28,-24.319999999999936
44624,16,0,376.9,3,2022-03-04,2022-03-04 16:00:00,2022-03-04 16:00:00,HOJ22.csv,9,HOJ22.csv,-3.0,376.99,376.99,1130.6999999999998,1130.97,0.2700000000002092
44624,16,20,376.52,0,2022-03-04,2022-03-04 16:20:00,2022-03-04 16:20:00,HOJ22.csv,2,HOJ22.csv,-3.0,376.61,376.61,1129.56,1129.83,0.2699999999999818
44627,10,30,389.24,2,2022-03-07,2022-03-07 10:30:00,2022-03-07 10:30:00,HOJ22.csv,106,HOJ22.csv,2.0,389.15,389.15,778.48,778.3,0.18000000000006366
44627,12,0,394.21,6,2022-03-07,2022-03-07 12:00:00,2022-03-07 12:00:00,HOJ22.csv,54,HOJ22.csv,4.0,394.12,394.12,1576.84,1576.48,0.35999999999989996
44627,14,30,390.88,5,2022-03-07,2022-03-07 14:30:00,2022-03-07 14:30:00,HOJ22.csv,245,HOJ22.csv,-1.0,390.97,390.97,390.88,390.97,0.09000000000003183
44627,16,0,394.44,3,2022-03-07,2022-03-07 16:00:00,2022-03-07 16:00:00,HOJ22.csv,8,HOJ22.csv,-2.0,394.53,398.04,788.88,796.08,7.2000000000000455
44628,10,30,439.78,5,2022-03-08,2022-03-08 10:30:00,2022-03-08 10:30:00,HOJ22.csv,35,HOJ22.csv,2.0,439.69,439.69,879.56,879.38,0.17999999999994998
44628,12,0,443.24,2,2022-03-08,2022-03-08 12:00:00,2022-03-08 12:00:00,HOK22.csv,52,HOJ22.csv,-3.0,443.33,443.33,1329.72,1329.99,0.2699999999999818
44628,14,30,442.93,0,2022-03-08,2022-03-08 14:30:00,2022-03-08 14:30:00,HOJ22.csv,86,HOJ22.csv,-2.0,443.02,443.02,885.86,886.04,0.17999999999994998
44630,4,30,370.73,-2,2022-03-10,2022-03-10 04:30:00,2022-03-10 04:30:00,HOK22.csv,2,HOK22.csv,-2.0,353.25,353.25,741.46,706.5,-34.960000000000036
44630,8,30,367.68,0,2022-03-10,2022-03-10 08:30:00,2022-03-10 08:30:00,HOJ22.csv,31,HOJ22.csv,2.0,367.59,367.59,735.36,735.18,0.18000000000006366
44630,12,0,334.09,3,2022-03-10,2022-03-10 12:00:00,2022-03-10 12:00:00,HOJ22.csv,62,HOJ22.csv,3.0,334.0,334.0,1002.27,1002.0,0.2699999999999818
44630,16,0,330.64,2,2022-03-10,2022-03-10 16:00:00,2022-03-10 16:00:00,HOJ22.csv,6,HOJ22.csv,-1.0,330.73,330.73,330.64,330.73,0.09000000000003183
44631,4,30,338.46,0,2022-03-11,2022-03-11 04:30:00,2022-03-11 04:30:00,HOJ22.csv,11,HOJ22.csv,-2.0,338.54999999999995,338.54999999999995,676.92,677.0999999999999,0.17999999999994998
44631,8,30,330.3,2,2022-03-11,2022-03-11 08:30:00,2022-03-11 08:30:00,HOJ22.csv,44,HOJ22.csv,2.0,330.21000000000004,330.21000000000004,660.6,660.4200000000001,0.17999999999994998
44631,12,0,340.06,6,2022-03-11,2022-03-11 12:00:00,2022-03-11 12:00:00,HOJ22.csv,38,HOJ22.csv,4.0,339.97,339.97,1360.24,1359.88,0.35999999999989996
44631,16,0,340.73,3,2022-03-11,2022-03-11 16:00:00,2022-03-11 16:00:00,HOJ22.csv,5,HOJ22.csv,-3.0,340.82,340.82,1022.19,1022.46,0.2699999999999818
44631,16,20,341.94,0,2022-03-11,2022-03-11 16:20:00,2022-03-11 16:20:00,HOJ22.csv,3,HOJ22.csv,-3.0,342.03,342.03,1025.82,1026.09,0.2699999999999818
44634,4,30,339.89,-2,2022-03-14,2022-03-14 04:30:00,2022-03-14 04:30:00,HOJ22.csv,15,HOJ22.csv,-2.0,339.98,339.98,679.78,679.96,0.18000000000006366
44634,6,0,333.84,-1,2022-03-14,2022-03-14 06:00:00,2022-03-14 06:00:00,HOJ22.csv,10,HOJ22.csv,1.0,333.75,333.75,333.84,333.75,0.08999999999997499
44634,6,30,333.12,0,2022-03-14,2022-03-14 06:30:00,2022-03-14 06:30:00,HOJ22.csv,3,HOJ22.csv,1.0,333.03000000000003,333.03000000000003,333.12,333.03000000000003,0.08999999999997499
44634,8,30,334.69,2,2022-03-14,2022-03-14 08:30:00,2022-03-14 08:30:00,HOM22.csv,2,HOM22.csv,2.0,311.73,311.73,669.38,623.46,45.91999999999996
44634,10,30,327.39,1,2022-03-14,2022-03-14 10:30:00,2022-03-14 10:30:00,HOJ22.csv,14,HOJ22.csv,-1.0,327.48,327.48,327.39,327.48,0.09000000000003183
44635,6,0,306.32,0,2022-03-15,2022-03-15 06:00:00,2022-03-15 06:00:00,HOJ22.csv,2,HOJ22.csv,-1.0,306.41,306.41,306.32,306.41,0.09000000000003183
44635,12,0,300.42,1,2022-03-15,2022-03-15 12:00:00,2022-03-15 12:00:00,HOJ22.csv,74,HOJ22.csv,1.0,300.33000000000004,300.33000000000004,300.42,300.33000000000004,0.08999999999997499
44636,12,0,309.37,2,2022-03-16,2022-03-16 12:00:00,2022-03-16 12:00:00,HOJ22.csv,12,HOJ22.csv,1.0,309.28000000000003,309.28000000000003,309.37,309.28000000000003,0.08999999999997499
44636,16,0,311.69,0,2022-03-16,2022-03-16 16:00:00,2022-03-16 16:00:00,HOJ22.csv,2,HOJ22.csv,-2.0,311.78,311.78,623.38,623.56,0.17999999999994998
44637,4,30,328.31,-2,2022-03-17,2022-03-17 04:30:00,2022-03-17 04:30:00,HOJ22.csv,1,HOK22.csv,-2.0,313.78,313.78,656.62,627.56,-29.06000000000006
44637,8,30,337.42,0,2022-03-17,2022-03-17 08:30:00,2022-03-17 08:30:00,HOK22.csv,8,HOM22.csv,2.0,308.02000000000004,308.02000000000004,674.84,616.0400000000001,58.799999999999955
44637,12,0,354.81,3,2022-03-17,2022-03-17 12:00:00,2022-03-17 12:00:00,HOK22.csv,42,HOJ22.csv,3.0,354.72,345.85,1064.43,1037.5500000000002,26.87999999999988
44637,16,0,348.49,0,2022-03-17,2022-03-17 16:00:00,2022-03-17 16:00:00,HOK22.csv,8,HOJ22.csv,-3.0,348.58,348.58,1045.47,1045.74,0.2699999999999818
44638,12,0,351.18,3,2022-03-18,2022-03-18 12:00:00,2022-03-18 12:00:00,HOK22.csv,10,HOK22.csv,3.0,330.65000000000003,330.65000000000003,1053.54,991.95,61.58999999999992
